股票代码,名称,上市日期,上市状态,终止/暂停上市日期
sh600552,凯盛科技,2002-11-08,正常交易,
sh600556,天下秀,2001-08-07,正常交易,
sh600557,康缘药业,2002-09-18,正常交易,
sh600558,XD大西洋,2001-02-27,正常交易,
sh600559,老白干酒,2002-10-29,正常交易,
sh600560,金自天正,2002-09-19,正常交易,
sh600561,江西长运,2002-07-16,正常交易,
sh600562,国睿科技,2003-01-28,正常交易,
sh600563,法拉电子,2002-12-10,正常交易,
sh600566,济川药业,2001-08-22,正常交易,
sh600567,山鹰国际,2001-12-18,正常交易,
sh600568,ST中珠,2001-05-18,正常交易,
sh600569,安阳钢铁,2001-08-20,正常交易,
sh600570,恒生电子,2003-12-16,正常交易,
sh600571,信雅达,2002-11-01,正常交易,
sh600572,康恩贝,2004-04-12,正常交易,
sh600573,惠泉啤酒,2003-02-26,正常交易,
sh600575,淮河能源,2003-03-28,正常交易,
sh600576,祥源文旅,2003-02-20,正常交易,
sh600577,精达股份,2002-09-11,正常交易,
sh600578,京能电力,2002-05-10,正常交易,
sh600579,中化装备,2002-08-09,正常交易,
sh600580,卧龙电驱,2002-06-06,正常交易,
sh600581,八一钢铁,2002-08-16,正常交易,
sh600582,天地科技,2002-05-15,正常交易,
sh600583,海油工程,2002-02-05,正常交易,
sh600584,长电科技,2003-06-03,正常交易,
sh600585,海螺水泥,2002-02-07,正常交易,
sh600586,金晶科技,2002-08-15,正常交易,
sh600587,新华医疗,2002-09-27,正常交易,
sh600588,用友网络,2001-05-18,正常交易,
sh600589,大位科技,2001-06-12,正常交易,
sh600590,泰豪科技,2002-07-03,正常交易,
sh600592,龙溪股份,2002-08-05,正常交易,
sh600593,大连圣亚,2002-07-11,正常交易,
sh600594,益佰制药,2004-03-23,正常交易,
sh600595,中孚实业,2002-06-26,正常交易,
sh600596,新安股份,2001-09-06,正常交易,
sh600597,光明乳业,2002-08-28,正常交易,
sh600598,北大荒,2002-03-29,正常交易,
sh600599,*ST熊猫,2001-08-28,正常交易,
sh600600,青岛啤酒,1993-08-27,正常交易,
sh600601,方正科技,1990-12-19,正常交易,
sh600602,云赛智联,1990-12-19,正常交易,
sh600603,ST广物,1992-01-13,正常交易,
sh600604,市北高新,1992-03-27,正常交易,
sh600605,汇通能源,1992-03-27,正常交易,
sh600606,绿地控股,1992-03-27,正常交易,
sh600608,*ST沪科,1992-03-27,正常交易,
sh600609,金杯汽车,1992-07-24,正常交易,
sh600610,中毅达,1992-08-05,正常交易,
sh600611,大众交通,1992-08-07,正常交易,
sh600612,老凤祥,1992-08-14,正常交易,
sh600613,神奇制药,1992-08-20,正常交易,
sh600615,丰华股份,1992-09-10,正常交易,
sh600616,金枫酒业,1992-09-29,正常交易,
sh600617,国新能源,1992-10-13,正常交易,
sh600618,氯碱化工,1992-11-13,正常交易,
sh600619,海立股份,1992-11-16,正常交易,
sh600620,天宸股份,1992-11-17,正常交易,
sh600621,华鑫股份,1992-12-02,正常交易,
sh600622,光大嘉宝,1992-12-03,正常交易,
sh600623,华谊集团,1992-12-04,正常交易,
sh600624,复旦复华,1993-01-05,正常交易,
sh600626,申达股份,1993-01-07,正常交易,
sh600628,新世界,1993-01-19,正常交易,
sh600629,华建集团,1993-02-09,正常交易,
sh600630,XD龙头股,1993-02-09,正常交易,
sh600633,浙数文化,1993-03-04,正常交易,
sh600635,大众公用,1993-03-04,正常交易,
sh600636,*ST国化,1993-03-16,正常交易,
sh600637,东方明珠,1993-03-16,正常交易,
sh600638,新黄浦,1993-03-26,正常交易,
sh600639,浦东金桥,1993-03-26,正常交易,
sh600640,XD国脉文,1993-04-07,正常交易,
sh600641,万业企业,1993-04-07,正常交易,
sh600642,申能股份,1993-04-16,正常交易,
sh600643,爱建集团,1993-04-26,正常交易,
sh600644,乐山电力,1993-04-26,正常交易,
sh600645,中源协和,1993-05-04,正常交易,
sh600648,外高桥,1993-05-04,正常交易,
sh600649,城投控股,1993-05-18,正常交易,
sh600650,锦江在线,1993-06-07,正常交易,
sh600651,飞乐音响,1990-12-19,正常交易,
sh600653,申华控股,1990-12-19,正常交易,
sh600654,中安科,1990-12-19,正常交易,
sh600655,豫园股份,1992-09-02,正常交易,
sh600657,信达地产,1993-05-24,正常交易,
sh600658,电子城,1993-05-24,正常交易,
sh600660,福耀玻璃,1993-06-10,正常交易,
sh600661,昂立教育,1993-06-14,正常交易,
sh600662,外服控股,1993-06-14,正常交易,
sh600663,陆家嘴,1993-06-28,正常交易,
sh600664,哈药股份,1993-06-29,正常交易,
sh600665,天地源,1993-07-09,正常交易,
sh600666,奥瑞德,1993-07-12,正常交易,
sh600667,太极实业,1993-07-28,正常交易,
sh600668,尖峰集团,1993-07-28,正常交易,
sh600671,天目药业,1993-08-23,正常交易,
sh600673,东阳光,1993-09-17,正常交易,
sh600674,川投能源,1993-09-24,正常交易,
sh600675,中华企业,1993-09-24,正常交易,
sh600676,交运股份,1993-09-28,正常交易,
sh600678,四川金顶,1993-10-08,正常交易,
sh600679,上海凤凰,1993-10-08,正常交易,
sh600681,百川能源,1993-10-18,正常交易,
sh600682,南京新百,1993-10-18,正常交易,
sh600683,京投发展,1993-10-25,正常交易,
sh600684,珠江股份,1993-10-28,正常交易,
sh600685,中船防务,1993-10-28,正常交易,
sh600686,金龙汽车,1993-11-08,正常交易,
sh600688,上海石化,1993-11-08,正常交易,
sh600689,上海三毛,1993-11-08,正常交易,
sh600690,海尔智家,1993-11-19,正常交易,
sh600691,阳煤化工,1993-11-19,正常交易,
sh600692,亚通股份,1993-11-19,正常交易,
sh600693,东百集团,1993-11-22,正常交易,
sh600694,大商股份,1993-11-22,正常交易,
sh600696,*ST岩石,1993-12-06,正常交易,
sh600697,欧亚集团,1993-12-06,正常交易,
sh600698,湖南天雁,1993-12-06,正常交易,
sh600699,均胜电子,1993-12-06,正常交易,
sh600702,舍得酒业,1996-05-24,正常交易,
sh600703,三安光电,1996-05-28,正常交易,
sh600704,物产中大,1996-06-06,正常交易,
sh600706,曲江文旅,1996-05-16,正常交易,
sh600707,彩虹股份,1996-05-20,正常交易,
sh600708,光明地产,1996-06-06,正常交易,
sh600710,苏美达,1996-07-01,正常交易,
sh600711,ST盛屯,1996-05-31,正常交易,
sh600712,南宁百货,1996-06-26,正常交易,
sh600713,南京医药,1996-07-01,正常交易,
sh600714,金瑞矿业,1996-06-06,正常交易,
sh600715,文投控股,1996-07-01,正常交易,
sh600716,凤凰股份,1996-07-02,正常交易,
sh600717,天津港,1996-06-14,正常交易,
sh600718,东软集团,1996-06-18,正常交易,
sh600719,大连热电,1996-07-16,正常交易,
sh600720,中交设计,1996-07-16,正常交易,
sh600721,百花医药,1996-06-26,正常交易,
sh600722,金牛化工,1996-06-26,正常交易,
sh600724,宁波富达,1996-07-16,正常交易,
sh600725,云维股份,1996-07-02,正常交易,
sh600726,华电能源,1996-07-01,正常交易,
sh600727,鲁北化工,1996-07-02,正常交易,
sh600728,佳都科技,1996-07-16,正常交易,
sh600729,重庆百货,1996-07-02,正常交易,
sh600730,中国高科,1996-07-26,正常交易,
sh600731,湖南海利,1996-08-02,正常交易,
sh600732,爱旭股份,1996-08-16,正常交易,
sh600733,北汽蓝谷,1996-08-16,正常交易,
sh600734,实达集团,1996-08-08,正常交易,
sh600735,新华锦,1996-07-26,正常交易,
sh600736,苏州高新,1996-08-15,正常交易,
sh600737,中粮糖业,1996-07-31,正常交易,
sh600738,丽尚国潮,1996-08-02,正常交易,
sh600739,辽宁成大,1996-08-19,正常交易,
sh600740,山西焦化,1996-08-08,正常交易,
