stock_code,stock_name,industry,primary_concept,all_concepts,region
sh600166,福田汽车,汽车整车,军工,"军工,预盈预增,融资融券,智慧城市,大数据,燃料电池,央国企改革,中证500,沪股通,无人驾驶,工业互联,百度概念,冷链物流,华为概念,氢能源,新能源车,车联网(车路云),地摊经济,固态电池,华为汽车,低价股,2025中报预增",北京
sh600167,联美控股,公用事业,节能环保,"节能环保,融资融券,参股保险,沪股通,东北振兴,华为概念,氢能源,富时罗素,标准普尔,空气能热泵",辽宁
sh600168,武汉控股,公用事业,节能环保,"节能环保,融资融券,央国企改革,PPP模式,海绵城市,绿色电力,破净股",湖北
sh600169,太原重工,专用设备,核能核电,"核能核电,铁路基建,风能,融资融券,央国企改革,沪股通,低价股",山西
sh600170,上海建工,工程建设,参股券商,"参股券商,参股银行,黄金概念,核能核电,长江三角,融资融券,央国企改革,中证500,上证380,沪股通,一带一路,证金持股,PPP模式,人工智能,雄安新区,MSCI中国,工业互联,富时罗素,标准普尔,装配建筑,低价股,机器人概念,破净股,房屋检测",上海
sh600171,上海贝岭,半导体,参股券商,"参股券商,物联网,预盈预增,LED,智能电网,长江三角,融资融券,参股新三板,央国企改革,充电桩,中证500,上证380,沪股通,华为概念,富时罗素,标准普尔,国产芯片,无线耳机,半导体概念,第三代半导体,IGBT概念,光通信模块,存储芯片",上海
sh600172,黄河旋风,非金属材料,军工,"军工,节能环保,新材料,预亏预减,融资融券,央国企改革,沪股通,标准普尔,培育钻石",河南
sh600173,卧龙新能,房地产开发,新能源,"新能源,网络游戏,预亏预减,稀土永磁,太阳能,长江三角,风能,氢能源,储能",浙江
sh600176,中国巨石,玻璃玻纤,HS300_,"HS300_,中字头,新材料,QFII重仓,预盈预增,风能,融资融券,上证180_,央国企改革,沪股通,一带一路,MSCI中国,富时罗素,标准普尔,2025中报预增",浙江
sh600177,雅戈尔,纺织服装,参股银行,"参股银行,机构重仓,融资融券,参股保险,互联金融,养老概念,电商概念,中证500,上证380,沪股通,证金持股,MSCI中国,工业大麻,富时罗素,C2M概念,破净股",浙江
sh600178,东安动力,汽车零部件,节能环保,"节能环保,机构重仓,预亏预减,央国企改革,沪股通,东北振兴,华为概念,新能源车,飞行汽车(eVTOL),低空经济,2025中报扭亏",黑龙江
sh600179,安通控股,物流行业,预盈预增,"预盈预增,融资融券,沪股通,区块链,统一大市场,2025中报预增",黑龙江
sh600180,瑞茂通,物流行业,参股银行,"参股银行,预亏预减,融资融券,互联金融,电商概念,沪股通,一带一路,富时罗素,标准普尔,内贸流通,破净股,2025中报预减",山东
sh600182,S佳通,橡胶制品,东北振兴,东北振兴,黑龙江
sh600183,生益科技,电子元件,HS300_,"HS300_,QFII重仓,预盈预增,融资融券,上证180_,沪股通,5G概念,MSCI中国,华为概念,富时罗素,PCB,标准普尔,2025中报预增",广东
sh600184,光电股份,专用设备,军工,"军工,机构重仓,预亏预减,融资融券,央国企改革,氟化工,沪股通,航母概念,湖北自贸,机器视觉,机器人概念",湖北
sh600185,珠免集团,商业百货,预盈预增,"预盈预增,融资融券,海洋经济,粤港自贸,央国企改革,沪股通,新零售,富时罗素,标准普尔,免税概念,跨境电商,并购重组概念",广东
sh600186,莲花控股,食品饮料,预盈预增,"预盈预增,融资融券,电商概念,沪股通,AI智能体,新零售,人造肉,调味品概念,算力概念,DeepSeek概念,2025中报预增",河南
sh600187,国中水务,公用事业,节能环保,"节能环保,创投,预亏预减,融资融券,养老概念,沪股通,PPP模式,独角兽,东北振兴,商汤概念,储能,空气能热泵",黑龙江
sh600188,兖矿能源,煤炭行业,煤化工,"煤化工,AH股,HS300_,稀缺资源,参股期货,参股银行,融资融券,上证180_,央国企改革,沪股通,MSCI中国,富时罗素,标准普尔",山东
sh600189,泉阳泉,食品饮料,预盈预增,"预盈预增,土地流转,婴童概念,央国企改革,沪股通,东北振兴,白酒,碳交易",吉林
sh600191,华资实业,农牧饲渔,参股券商,"参股券商,参股银行,西部大开发,粮食概念",内蒙古
sh600192,长城电工,电网设备,军工,"军工,新能源,预亏预减,核能核电,智能电网,太阳能,西部大开发,融资融券,燃料电池,央国企改革,充电桩,新能源车",甘肃
sh600193,*ST创兴,装修装饰,ST股,"ST股,预亏预减,稀土永磁,昨日触板",上海
sh600195,中牧股份,农药兽药,参股券商,"参股券商,生物疫苗,预亏预减,融资融券,参股保险,病毒防治,央国企改革,沪股通,流感,宠物经济",北京
sh600196,复星医药,化学制药,AH股,"AH股,HS300_,生物疫苗,机构重仓,长江三角,融资融券,央视50_,上证180_,医疗器械概念,病毒防治,IPO受益,免疫治疗,沪股通,证金持股,MSCI中国,独角兽,互联医疗,富时罗素,单抗概念,青蒿素,标准普尔,医疗美容,流感,辅助生殖,肝素概念,CAR-T细胞疗法,机器人概念,创新药,DeepSeek概念",上海
sh600197,伊力特,酿酒行业,参股期货,"参股期货,西部大开发,融资融券,央国企改革,沪股通,富时罗素,标准普尔,白酒",新疆
